2021/03/12 09:13:37 [error] 23#23: *2 connect() failed (113: No route to host) while connecting to upstream, client: 172.24.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "uwsgi://172.24.0.3:3010", host: "localhost:8083"
2021/03/12 09:27:09 [error] 22#22: *24 open() "/usr/share/nginx/html/static/admin/css/nav_sidebar.css" failed (2: No such file or directory), client: 172.24.0.1, server: localhost, request: "GET /static/admin/css/nav_sidebar.css HTTP/1.1", host: "localhost:8083", referrer: "http://localhost:8083/admin/login/?next=/admin/"
2021/03/12 09:27:09 [error] 22#22: *23 open() "/usr/share/nginx/html/static/admin/css/base.css" failed (2: No such file or directory), client: 172.24.0.1, server: localhost, request: "GET /static/admin/css/base.css HTTP/1.1", host: "localhost:8083", referrer: "http://localhost:8083/admin/login/?next=/admin/"
2021/03/12 09:27:09 [error] 22#22: *27 open() "/usr/share/nginx/html/static/admin/css/login.css" failed (2: No such file or directory), client: 172.24.0.1, server: localhost, request: "GET /static/admin/css/login.css HTTP/1.1", host: "localhost:8083", referrer: "http://localhost:8083/admin/login/?next=/admin/"
2021/03/12 09:27:09 [error] 22#22: *28 open() "/usr/share/nginx/html/static/admin/css/responsive.css" failed (2: No such file or directory), client: 172.24.0.1, server: localhost, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "localhost:8083", referrer: "http://localhost:8083/admin/login/?next=/admin/"
2021/03/12 09:27:09 [error] 22#22: *28 open() "/usr/share/nginx/html/static/admin/js/nav_sidebar.js" failed (2: No such file or directory), client: 172.24.0.1, server: localhost, request: "GET /static/admin/js/nav_sidebar.js HTTP/1.1", host: "localhost:8083", referrer: "http://localhost:8083/admin/login/?next=/admin/"
2021/03/12 09:28:32 [error] 23#23: *1 open() "/usr/share/nginx/html/static/admin/css/base.css" failed (2: No such file or directory), client: 172.24.0.1, server: localhost, request: "GET /static/admin/css/base.css HTTP/1.1", host: "localhost:8083", referrer: "http://localhost:8083/admin/login/?next=/admin/"
2021/03/12 09:28:32 [error] 23#23: *2 open() "/usr/share/nginx/html/static/admin/css/nav_sidebar.css" failed (2: No such file or directory), client: 172.24.0.1, server: localhost, request: "GET /static/admin/css/nav_sidebar.css HTTP/1.1", host: "localhost:8083", referrer: "http://localhost:8083/admin/login/?next=/admin/"
2021/03/12 09:28:32 [error] 23#23: *4 open() "/usr/share/nginx/html/static/admin/css/responsive.css" failed (2: No such file or directory), client: 172.24.0.1, server: localhost, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "localhost:8083", referrer: "http://localhost:8083/admin/login/?next=/admin/"
2021/03/12 09:28:32 [error] 23#23: *5 open() "/usr/share/nginx/html/static/admin/css/login.css" failed (2: No such file or directory), client: 172.24.0.1, server: localhost, request: "GET /static/admin/css/login.css HTTP/1.1", host: "localhost:8083", referrer: "http://localhost:8083/admin/login/?next=/admin/"
2021/03/12 09:28:32 [error] 23#23: *5 open() "/usr/share/nginx/html/static/admin/js/nav_sidebar.js" failed (2: No such file or directory), client: 172.24.0.1, server: localhost, request: "GET /static/admin/js/nav_sidebar.js HTTP/1.1", host: "localhost:8083", referrer: "http://localhost:8083/admin/login/?next=/admin/"
2021/03/12 09:28:33 [error] 23#23: *5 open() "/usr/share/nginx/html/static/admin/css/base.css" failed (2: No such file or directory), client: 172.24.0.1, server: localhost, request: "GET /static/admin/css/base.css HTTP/1.1", host: "localhost:8083", referrer: "http://localhost:8083/admin/login/?next=/admin/"
2021/03/12 09:28:33 [error] 23#23: *2 open() "/usr/share/nginx/html/static/admin/css/login.css" failed (2: No such file or directory), client: 172.24.0.1, server: localhost, request: "GET /static/admin/css/login.css HTTP/1.1", host: "localhost:8083", referrer: "http://localhost:8083/admin/login/?next=/admin/"
2021/03/12 09:28:33 [error] 23#23: *4 open() "/usr/share/nginx/html/static/admin/css/nav_sidebar.css" failed (2: No such file or directory), client: 172.24.0.1, server: localhost, request: "GET /static/admin/css/nav_sidebar.css HTTP/1.1", host: "localhost:8083", referrer: "http://localhost:8083/admin/login/?next=/admin/"
2021/03/12 09:28:33 [error] 23#23: *1 open() "/usr/share/nginx/html/static/admin/css/responsive.css" failed (2: No such file or directory), client: 172.24.0.1, server: localhost, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "localhost:8083", referrer: "http://localhost:8083/admin/login/?next=/admin/"
2021/03/12 09:28:33 [error] 23#23: *1 open() "/usr/share/nginx/html/static/admin/js/nav_sidebar.js" failed (2: No such file or directory), client: 172.24.0.1, server: localhost, request: "GET /static/admin/js/nav_sidebar.js HTTP/1.1", host: "localhost:8083", referrer: "http://localhost:8083/admin/login/?next=/admin/"
